Title,Running Time,Genre,Director,Barcode,Format,Condition
Grandmaster Yip Man,106 mins,Action; Biography; History,Wilson Yip,5060085366090,Blu-ray,
Grave Of The Fireflies,90 mins,,,5055201822314,,Unopened
Gravity 3D,91 mins,Science Fiction,Alfonso Cuarón,5051892165549,Blu-ray,
Great Continental Railway Journeys,60 mins,Documentary,Cassie Farrell; Dave Minchin,5030697023506,DVD,Unopened
Great Continental Railway Journeys Series 2,,,,5030697026682,DVD,Unopened
Great Continental Railway Journeys Series 3,,,,5030697029539,DVD,Unopened
Great Singers Of Russia Vol. 1,75 mins,Music; Opera,,89948425793,DVD,
Guardians Of The Galaxy,121 mins,Action; Adventure; Fantasy; Science Fiction,James Gunn,8717418440329,Blu-ray 3D,
Hard Boiled,126 mins,Action; Foreign; Thriller,John Woo,5023965347329,DVD,
Harry Brown,103 mins,Drama; Thriller,Daniel Barber,5060052418777,Blu-ray,
Harry Potter And The Chamber Of Secrets,161 mins,Adventure; Family; Fantasy,Chris Columbus,7321902208152,DVD,
Harry Potter And The Deathly Hallows: Part I,146 mins,Adventure; Fantasy; Mystery,David Yates,5051892028417,Blu-ray,
Harry Potter And The Deathly Hallows: Part II,130 mins,Adventure; Fantasy,David Yates,5051892028301,Blu-ray & DVD,Unopened
Harry Potter And The Half-Blood Prince,154 mins,Adventure; Fantasy; Mystery,David Yates,9325336063965,DVD,
Harry Potter And The Prisoner Of Azkaban,141 mins,Adventure; Family; Fantasy,Alfonso Cuarón,9325336020616,DVD,
Harry Potter: Years 1-5,750 mins,Fantasy,Chris Columbus,7321902208152,DVD,
Hauru No Ugoku Shiro-Howl's moving castle,119 mins,Adventure; Animation; Anime; Fantasy; Romance,Hayao Miyazaki,5055201820136,Blu-ray & DVD,
"Herbert Von Karajan: Beethoven - Missa Solemnis In D Major, Op. 123",,Music,,44007343913,DVD,
Hero,95 mins,Action,Zhang Yimou,5017188814140,DVD,Unopened
Heroes Two,91 mins,Action; Crime; Thriller,Cheh Chang,5060049145587,DVD,
Hidden - Cache,117 mins,Drama; Mystery; Thriller,Michael Haneke,5021866312309,DVD,Unopened
Homefront,100 mins,Action; Thriller,Gary Fleder,5055761901238,DVD,
Homefront,100 mins,Action; Thriller,Gary Fleder,5055761901238,Blu-ray,
Hong Xiguan Zhi Shaolin Wu Zu-The new legend of Shaolin,95 mins,Action; Adventure; Comedy,,5035822274334,Blu-ray,
Hopscotch,106 mins,Comedy; Drama,Ronald Neame,5028836031376,DVD,
