Title,Running Time,Genre,Director,Barcode,Format,Condition,Estimated Value (AUD),Confidence,Source,Notes,Last Checked
"Donizetti - Lucia Di Lammermoor / Joan Sutherland, Alfredo Kraus, Pablo Elvira, Paul Plishka, Richard Bonynge, Metropolitan Opera",134 mins,Opera,,44007341094,DVD,,30.91,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Dora-Heita,113 mins,Action; Adventure; Comedy,Kon Ichikawa,737187011856,DVD,,104.67,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Dororo,,,Akihiko Shiota,5060067003357,DVD,,43.05,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Dredd,95 mins,Action; Crime; Science Fiction,Pete Travis,5017239151880,Blu-ray 3D,,30.5,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
E.T. The Extra-Terrestrial,121 mins,Adventure; Drama; Family; Fantasy; Science Fiction,Steven Spielberg,5050582977325,Blu-ray,,31.76,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Eclipse Series 4 - Raymond Bernard,,,,715515025324,DVD,,44.67,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Eclipse: Series 4,392 mins,Foreign,Raymond Bernard,715515025324,DVD,,44.67,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
El Orfanato,110 mins,Horror; Mystery; Thriller,Juan Antonio Bayona,5055201803207,DVD,,25.42,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Emperor and the white snake,93 mins,Action; Martial Arts,,5055002557132,Blu-ray,,25.31,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Encounter Of The Spooky Kind,102 mins,Action; Comedy; Fantasy,Sammo Hung Kam-Bo,5032438505661,DVD,,43.45,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Ex Machina,108 mins,Drama; Science Fiction; Thriller,Alex Garland,5053083028794,Blu-ray,,31.39,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Existenz,97 mins,Crime; Drama; Science Fiction; Thriller,David Cronenberg,5060001621197,DVD,,33.64,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Extraction,90 mins,Action,Tony Giglio,9338176017951,DVD,,11.43,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Family Business,110 mins,Comedy; Crime,Sidney Lumet,43396100503,DVD,,29.66,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Far North,89 mins,Drama,Asif Kapadia,14381499520,DVD,Unopened,31.09,Medium,eBay,No Brand New listings found. Estimated using used listings. (3 listings),
Fifty Shades Of Grey,125 mins,Drama; Romance,Sam Taylor Wood,5053083028299,Blu-ray,,9.95,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Fighter,96 mins,Martial Arts,,5060116723588,DVD,Unopened,24.71,Medium,eBay,3 listings,
Five Element Ninjas x 2 copies,108 mins,Martial Arts,Cheh Chang,631595094282,DVD,Unopened,62.55,Low,eBay,No Brand New listings found. Estimated using used listings. (2 listings),
Flickan Som Lekte Med Elden-The girl who played with fire,129 mins,Action; Mystery; Thriller,Daniel Alfredson,5060116726053,Blu-ray,,25.81,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Fong Sai Yuk- The Legend,100 mins,Action; Adventure,Corey Yuen,796019819237,DVD,,47.39,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
For The Moment,,,,5060092907422,DVD,,29.66,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Forbidden Games,102 mins,Drama,Rene Clement,37429209622,DVD,,78.86,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Forbrydelsen: Season 1-3 -The Killing,1200 mins,Crime; Drama; Thriller,Morten Arnfred; Hans Fabian Wullenweber; Birger Larsen; Henrik Ruben Genz; Morten Køhlert; Charlotte Sieling; Kristoffer Nyholm,5027035008578,Blu-ray,,113.19,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Forrest Gump,141 mins,Comedy; Drama; Family; Romance,Robert Zemeckis,5051368249131,Blu-ray,Unopened,39.5,Medium,eBay,4 listings,
Four Minutes,91 mins,Drama; History; Sports,Charles Beeson,5060018659077,DVD,,30.8,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Foyle's War: Season 7,,Crime; Drama; Mystery,Stuart Orme; Andy Hay,5036193031106,DVD,,29.1,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Foyle's War: Season 8,343 mins,Crime; Drama; Mystery; War,Stuart Orme; Andy Hay,5036193031939,DVD,,58.4,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Foyle's War: Set 1,97 mins,Crime; Mystery; War,David Thacker; Jeremy Silberston,5036193090912,DVD,,12.88,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Foyle's War: Set 2,400 mins,Crime; Drama; Mystery,Giles Foster; Jeremy Silberston,5036193090929,DVD,,35.17,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Foyle's War: Set 4,400 mins,Crime; Drama; War,Gavin Millar; Jeremy Silberston,8713045212612,DVD,,30.48,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Foyle's War: Set 5,277 mins,Crime; History; War,David Richards; Stuart Orme,5036193096440,DVD,,34.76,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Foyle's War: Set 6,274 mins,Crime; War,,5036193097836,DVD,,36.91,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Foyles War Complete Series 3,400 mins,Crime; Drama; Speelfilm #FI; War,Gavin Millar; Jeremy Silberston,8713045212605,DVD,,,None,eBay,No matching listings,
Francofonia: Le Louvre Under German Occupation,88 mins,,,5021866199405,Blu-ray,,,None,eBay,No matching listings,
French Kiss,111 mins,Comedy; Family; Romance,Lawrence Kasdan,5050070004854,DVD,,39.81,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Friends Season 3,,Comedy,,7321931178068,DVD,,,None,eBay,No matching listings,
From Paris With Love,92 mins,Action; Thriller,Pierre Morel,5051892015042,DVD,,20.05,Medium,eBay,4 listings,
From Up On Poppy Hill,91 mins,Animation; Drama; Family,Goro Miyazaki,5055201823700,Blu-ray & DVD,Unopened,77.01,Low,eBay,No Brand New listings found. Estimated using used listings. (1 listing),
Game Of Thrones: Season 1 & Season 2,1103 mins,Action; Adult; Adventure; Drama; Fantasy,Alan Taylor; Daniel Minahan,5051892122313,Blu-ray,,84.39,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
George Gently - Series 2,354 mins,Crime,Ciaran Donnelly; Daniel O'Hara,9397911012293,DVD,,10.0,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
George Gently: Season 3,180 mins,Drama; Mystery,Daniel O'Hara,5036193098901,DVD,,21.7,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
George Gently: Series One,266 mins,Crime; Drama; Mystery,Ciaran Donnelly; Euros Lyn,5036193096297,DVD,,20.24,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Gérard Depardieu - Screen Icons,404 mins,,,5055201803047,DVD,,37.89,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Ghost Dog: The Way Of The Samurai,116 mins,Action; Crime; Thriller,Jim Jarmusch,12236114895,DVD,,34.68,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Gion Bayashi-Sansho Dayu,210 mins,Drama,Kenji Mizoguchi,5060000500325,DVD,,,None,eBay,No matching listings,
Giovanni's Island,102 mins,,,5037899057520,Blu-ray,Unopened,61.12,Medium,eBay,No Brand New listings found. Estimated using used listings. (4 listings),
Girl Who Played With Fire,124 mins,Crime; Drama,Daniel Alfredson,9398711069197,DVD,Unopened,8.23,High,eBay,5 listings,
Glenn Gould: Au Delà Du Temps,106 mins,Music,Bruno Monsaingeon,899132000206,DVD,,43.24,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Going In Style,96 mins,Comedy; Crime; Drama,Zach Braff,5051892195928,Blu-ray,,26.58,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
