Title,Running Time,Genre,Director,Barcode,Format,Condition,Estimated Value (AUD),Confidence,Source,Notes,Last Checked
Bienvenue Chez Les Ch'tis,106 mins,Comedy,Dany Boon,3388330034078,DVD,,,None,eBay,No matching listings,
Bird,160 mins,Drama,Clint Eastwood,7321931118200,DVD,,,None,eBay,No matching listings,
Bizet: Carmen: Bumbry / Vickers / Freni / Diaz,163 mins,Opera,Herbert Von Karajan,44007340325,DVD,,38.95,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Black Snow ( Ben Ming Nian ),99 mins,Drama,Fei Xie,5060114150263,DVD,,37.0,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Body Of Lies,128 mins,Action; Crime; Thriller,Ridley Scott,5051892001298,Blu-ray,,41.93,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Bond 50: The Complete 22 Film Collection,2744 mins,Action; Adventure; Thriller,Terence Young,5039036050746,Blu-ray,,176.57,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Boris Godunov,110 mins,Foreign; Music; Opera,Vera Stroyeva,89948425397,DVD,,41.4,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Boris Godunov: Mussorgsky: Valery Gergiev,210 mins,Music; Opera,,44007508992,DVD,,36.33,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Breathless,101 mins,Action; Drama; Romance,Jim McBride,5050070005134,DVD,,39.72,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Castle In The Sky,124 mins,Action; Adventure; Animation; Anime; Family; Fantasy,Hayao Miyazaki,5055201815996,Blu-ray,,58.76,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Castle Of Cagliostro,109 mins,Action; Adventure; Animation; Anime; Comedy,,5055201822789,Blu-ray,,,None,eBay,No matching listings,
Civilisation:,670 mins,Documentary; History; Special Interest,Ann Turner; Peter Montagnon,5051561001475,Blu-ray,,54.84,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Classics Archive: Oistrakh / Menhuin / Rostropvich,,,,724349044999,DVD,,41.38,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Claudio Abbado: Beethoven Symphonies 1-9,,Music,,880242573780,DVD,,88.05,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Closely Watched Trains,93 mins,Comedy; Drama; Foreign; War,Jirí Menzel,5027035002958,DVD,,39.57,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Coast Australia:,403 mins,Documentary,Pria Viswalingam,9397810263291,DVD,,8.45,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Colombiana,107 mins,Action; Thriller,Olivier Megaton,5017239152023,Blu-ray,,27.08,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Concorde: The Early Years 1969-1976 (Volume 2 ),114 mins,Documentary,,5027626101244,DVD,,28.08,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Confucius,120 mins,Biography; Foreign; History,Mei Hu,5060085364881,Blu-ray,,19.67,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Coup De Torchon,,,Bertrand Tavernier,5055201802620,DVD,,,None,eBay,No matching listings,
Cradle 2 The Grave,101 mins,Action; Adventure; Thriller,Andrzej Bartkowiak,7321900234115,DVD,,9.71,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Crimson Rivers 2: Angel Of The Apocalypse,100 mins,Action; Crime; Horror; Mystery; Suspense; Thriller,Olivier Dahan,5035822868236,DVD,,,None,eBay,No matching listings,
Cycling with Moliere,104 mins,Comedy; Drama,Philippe Le Guay,5021866707303,DVD,,41.17,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
D'Artagnan's Daughter,125 mins,Drama,Bertrand Tavernier; Riccardo Freda,5028836031857,DVD,,67.13,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Danny The Dog,102 mins,Action; Adventure; Special Interest,Louis Leterrier,5050582893199,Blu-ray,,118.42,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Dare To Be Wild,100 mins,Drama,Vivienne De Courcy,9338176017944,DVD,,15.44,Medium,eBay,4 listings,
Das Weisse Band - Eine Deutsche Kindergeschichte,144 mins,Crime; Drama; Foreign,Michael Haneke,5021866479309,DVD,,34.72,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Death In Paradise: Season 1,,Action; Adventure; Drama,Paul Harrison; Alfred Lot,5051561035678,DVD,,36.99,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Death In Paradise: Season 2,,Action; Adventure; Drama,Alrick Riley; David O'Neill,5051561037696,DVD,,20.59,Low,eBay,1 listing,
Décalage Horaire,85 mins,Comedy; Drama; Romance,Danièle Thompson,786936233063,DVD,,35.73,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Der Rosenkavalier,192 mins,Opera,,5060203340216,Blu-ray,,45.31,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Di Renjie - Detective Dee,123 mins,Action; Crime; Thriller,Tsui Hark,5060085366342,Blu-ray,,39.35,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
"Di Renjie- Detective Dee, Mystery of the Phantom Flame",118 mins,Action; Drama; Martial Arts,Tsui Hark,5060085364843,DVD,,20.36,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Diamond 13,98 mins,Action; Crime; Drama,Gilles Béhat,9312590152313,DVD,,,None,eBay,No matching listings,
District 9,112 mins,Action; Science Fiction; Thriller,Neill Blomkamp,5035822576032,DVD,,25.32,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Divergent,139 mins,Action; Adventure; Mystery; Romance; Science Fiction; Suspense; Thriller,Neil Burger,5030305518158,Blu-ray,,55.88,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Doctor Zhivago,200 mins,Drama; Romance; War,David Lean,5051892011549,Blu-ray,,43.12,High,eBay,5 listings,
Don’t Say A Word (Pas Un Mot),113 mins,Drama; Thriller,Gary Fleder,3344428048280,Blu-ray,Unopened,,None,eBay,No matching listings,
